Date,Region,Temperature_C,Rainfall_mm,CO2_ppm,AirQuality_Index
2010-01-01,North_America,10.995776772575768,15.594583907232462,359.6848369470363,61.49002865364672
2010-01-02,North_America,11.859236057381969,45.36296683380294,359.71561833075015,67.07944130231888
2010-01-03,North_America,9.856467661712617,61.643225625389874,359.95898299725917,64.62965211196119
2010-01-04,North_America,11.753779300069423,51.029338382163004,359.5699293381382,59.09629624637209
2010-01-05,North_America,11.006716782265304,48.24040418924383,360.02456149326105,64.87057146126138
2010-01-06,North_America,12.005298503247447,31.96445113943882,360.3751291533301,64.06663562385326
2010-01-07,North_America,13.358592369621228,40.127007085169176,360.355505490855,63.26222207597877
2010-01-08,North_America,8.948482436358795,42.216785130762524,360.2079074935404,62.58930905949585
2010-01-09,North_America,11.468937375004113,43.55363248841515,360.1122445036952,66.60029894760766
2010-01-10,North_America,9.954652624343604,7.594264632824947,360.036837450551,59.76164610120612
2010-01-11,North_America,11.169969742970094,16.707246891907943,360.08537874308274,62.886155861579574
2010-01-12,North_America,12.080756508949078,21.475781873209762,359.82052832386495,58.07070692578267
2010-01-13,North_America,13.570508919041304,5.586039925889025,359.91255751368465,64.71082096837574
2010-01-14,North_America,13.672400849207255,4.088371324712621,359.6372877624797,62.92678549619016
2010-01-15,North_America,13.796921637364173,23.547101139989273,360.34843631119645,60.18835505457221
2010-01-16,North_America,13.731053960878482,8.94075090477127,360.0715062063182,63.69446198094775
2010-01-17,North_America,11.982008562869375,26.28950782398884,360.6508313877364,67.24336081472612
2010-01-18,North_America,14.276636526686024,27.288796014990243,359.9566048040018,63.49468217866655
2010-01-19,North_America,12.947595840869319,16.952974886303824,360.12089143244793,58.44550486740085
2010-01-20,North_America,14.223315430235344,17.260752484055892,360.3210722479654,63.124422273863104
2010-01-21,North_America,13.006601936610018,12.062284085525215,360.25039872025235,64.07422578228244
2010-01-22,North_America,13.892561860119288,6.293242155824991,360.12173276000135,61.12240260234184
